Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by SA4 (POW)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"SA4 (POW)","Sydney - Baulkham Hills and Hawkesbury","Sydney - Blacktown","Sydney - City and Inner South","Sydney - Eastern Suburbs","Sydney - Inner South West","Sydney - Inner West","Sydney - North Sydney and Hornsby","Sydney - Northern Beaches","Sydney - Outer South West","Sydney - Outer West and Blue Mountains","Sydney - Parramatta","Sydney - Ryde","Sydney - South West","Sydney - Sutherland","Total",
"Paddington - Moore Park",31,22,5088,2150,104,174,668,56,20,16,114,175,40,36,8687,
"Rose Bay - Vaucluse - Watsons Bay",12,9,2283,2250,99,104,217,22,7,4,63,67,28,30,5192,
"Woollahra",12,3,2026,1223,63,73,250,15,8,6,63,71,15,10,3836,
"Coogee - Clovelly",58,39,6545,4672,281,295,803,93,29,19,262,237,104,86,13528,
"Malabar - La Perouse - Chifley",33,48,4340,3746,339,214,379,47,44,10,191,123,98,111,9726,
"Kensington (NSW)",22,32,2853,2259,164,146,324,47,12,13,124,101,51,48,6204,
"Kingsford",14,23,2728,2341,162,122,301,47,17,13,122,107,42,57,6106,
"Maroubra - North",30,12,2162,1655,120,94,218,32,20,6,83,70,48,52,4587,
"Maroubra - South",14,22,2158,1695,142,123,252,38,28,0,77,78,49,33,4720,
"Maroubra - West",6,15,2133,1566,132,109,223,19,12,4,78,82,31,33,4457,
"Randwick - North",40,30,4255,3260,191,231,588,69,26,19,192,181,50,65,9188,
"Randwick - South",22,31,3017,2509,147,123,405,43,21,8,159,117,42,37,6669,
"Bass Hill - Georges Hall",58,147,1016,67,2731,431,158,28,112,47,1400,159,691,82,7129,
"Chullora",7,8,97,9,104,38,25,0,6,0,75,16,14,0,397,
"Condell Park",41,76,653,65,1831,276,98,17,59,21,455,95,277,70,4049,
"Greenacre - Mount Lewis",58,154,1411,117,3475,954,252,35,67,35,856,229,351,73,8069,
"Padstow",39,82,1965,193,2691,322,246,23,138,36,564,143,364,342,7153,
"Panania - Milperra - Picnic Point",65,189,2615,229,4730,445,349,30,280,68,983,213,918,386,11495,
"Revesby",44,97,1848,145,2720,332,234,14,131,44,543,143,407,215,6913,
"Yagoona - Birrong",68,137,1233,117,2621,512,239,35,105,58,1195,150,567,69,7096,
"Bankstown - North",27,89,1332,110,2088,343,221,39,72,37,662,131,351,113,5614,
"Bankstown - South",33,88,1063,88,2171,333,195,36,87,24,611,118,373,96,5319,
"Belmore - Belfield",44,88,2260,213,2177,1141,335,45,52,32,589,201,191,99,7469,
"Canterbury (South) - Campsie",66,140,4702,536,3276,1574,726,142,87,49,844,359,276,147,12929,
"Kingsgrove (North) - Earlwood",42,71,4235,404,2643,972,468,38,63,29,509,207,208,182,10084,
"Punchbowl",32,90,1558,177,2833,520,220,31,65,27,607,146,300,122,6742,
"Roselands",20,42,1605,165,1954,379,209,18,45,35,367,111,172,149,5273,
"Lakemba",22,54,1567,213,1903,398,223,45,67,33,413,140,143,84,5315,
"Wiley Park",20,41,1057,144,1194,225,137,29,33,11,281,92,121,64,3448,
"Hurstville",34,68,3820,451,3234,455,467,63,67,25,392,177,204,595,10046,
"Mortdale - Penshurst",46,86,3964,420,4044,455,520,45,107,35,528,210,265,845,11554,
"Narwee - Beverly Hills",19,46,1964,183,1969,341,242,19,54,23,327,126,155,198,5662,
"Oatley - Hurstville Grove",21,38,1992,177,2340,230,227,11,45,14,222,89,158,436,5999,
"Peakhurst - Lugarno",39,86,2204,202,3335,301,236,27,88,21,410,147,236,419,7762,
"Riverwood",26,21,1418,146,1467,218,183,12,40,11,237,67,135,161,4146,
"South Hurstville - Blakehurst",43,71,3675,432,3845,445,427,59,68,23,400,200,206,836,10732,
"Arncliffe - Bardwell Valley",36,58,5405,688,2132,404,615,86,96,17,350,187,155,256,10485,
"Bexley",34,66,4447,699,3801,447,523,79,62,24,426,235,183,548,11576,
"Kingsgrove (South) - Bardwell Park",15,35,2139,221,1746,351,238,19,50,13,258,109,127,145,5466,
"Kogarah",17,27,2264,359,1645,160,282,29,37,18,184,97,60,337,5509,
"Kogarah Bay - Carlton - Allawah",24,42,2937,382,2351,269,349,41,52,18,281,113,149,522,7520,
"Monterey - Brighton-le-Sands - Kyeemagh",28,42,2570,498,1786,195,258,44,40,19,228,88,104,282,6175,
"Rockdale - Banksia",32,38,4477,799,2197,322,604,106,54,14,309,172,154,392,9677,
"Sans Souci - Ramsgate",29,34,2623,458,2242,232,234,23,43,8,197,97,130,679,7031,
"Concord - Mortlake - Cabarita",162,176,2813,169,447,3598,672,76,53,111,1169,609,265,32,10354,
"Concord West - North Strathfield",149,202,4156,241,410,3024,1109,90,44,95,1339,924,222,33,12050,
