Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by OCCP - 1 Digit Level"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"OCCP - 1 Digit Level","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"Maroubra - South",748,1557,545,538,648,419,161,271,41,36,3963,8926,
"Maroubra - West",686,1463,431,456,677,439,145,301,48,36,3896,8581,
"Randwick - North",1618,3740,850,858,1184,656,208,362,75,53,4587,14199,
"Randwick - South",1052,2754,622,618,895,476,140,301,48,36,4273,11228,
"Bass Hill - Georges Hall",788,1270,1147,797,1244,795,704,735,115,81,9238,16921,
"Chullora",64,116,41,30,57,41,27,43,5,6,281,711,
"Condell Park",465,751,628,417,659,444,362,453,64,41,4354,8652,
"Greenacre - Mount Lewis",872,1550,1332,841,1318,982,794,862,103,109,10923,19681,
"Padstow",859,1615,1055,670,1419,677,548,595,69,64,6123,13678,
"Panania - Milperra - Picnic Point",1516,2528,1788,1141,2375,1158,731,773,134,77,8347,20559,
"Revesby",849,1484,1043,729,1322,619,512,595,74,85,5833,13143,
"Yagoona - Birrong",625,1268,1126,788,1155,736,750,891,99,86,8681,16212,
"Bankstown - North",500,1088,745,756,714,655,612,712,80,65,6638,12582,
"Bankstown - South",380,894,797,730,712,543,584,779,74,101,7005,12606,
"Belmore - Belfield",767,1433,1118,871,1261,803,617,920,106,85,7528,15513,
"Canterbury (South) - Campsie",1183,2373,2025,1630,1705,1456,1007,2026,160,220,12063,25835,
"Kingsgrove (North) - Earlwood",1549,2692,1332,889,1678,1008,559,749,116,107,8633,19311,
"Punchbowl",610,1005,1141,816,974,755,842,933,93,108,8806,16083,
"Roselands",623,1104,789,514,917,615,455,514,55,56,5176,10813,
"Lakemba",358,832,665,702,566,597,826,904,105,112,7063,12733,
"Wiley Park",231,490,453,491,380,464,502,543,62,34,4082,7740,
"Hurstville",1075,2471,1265,1091,1477,1227,564,1081,120,135,9632,20134,
"Mortdale - Penshurst",1403,3118,1393,1258,1957,1152,604,991,123,89,7697,19780,
"Narwee - Beverly Hills",636,1374,722,635,954,572,412,502,72,72,5478,11438,
"Oatley - Hurstville Grove",938,1981,610,518,1031,556,203,316,58,35,4139,10390,
"Peakhurst - Lugarno",1142,1949,1084,808,1407,776,407,500,90,66,6451,14672,
"Riverwood",370,885,555,443,643,483,384,501,45,66,5141,9508,
"South Hurstville - Blakehurst",1547,2897,1207,1079,1688,1186,501,915,128,99,8854,20101,
"Arncliffe - Bardwell Valley",1325,2829,1191,1058,1552,1039,627,1133,122,117,7474,18469,
"Bexley",1269,2679,1555,1288,1766,1239,841,1325,143,103,9546,21750,
"Kingsgrove (South) - Bardwell Park",721,1458,689,432,1033,512,339,439,82,49,4596,10348,
"Kogarah",488,1669,598,678,753,513,312,647,51,50,3699,9456,
"Kogarah Bay - Carlton - Allawah",922,1879,948,794,1221,862,444,716,80,56,5339,13262,
"Monterey - Brighton-le-Sands - Kyeemagh",884,1394,771,640,1077,709,434,490,73,75,5171,11728,
"Rockdale - Banksia",981,1980,1292,1152,1290,1063,629,1502,114,104,7080,17184,
"Sans Souci - Ramsgate",1141,1640,866,635,1314,823,420,485,86,58,5847,13316,
"Concord - Mortlake - Cabarita",2073,3296,958,735,1740,1035,286,478,123,89,7194,18005,
"Concord West - North Strathfield",1891,4456,1136,974,1818,1094,300,561,148,111,8683,21179,
"Drummoyne - Rodd Point",2060,3279,727,703,1323,845,164,306,109,32,5591,15149,
"Five Dock - Abbotsford",2080,3287,905,776,1556,928,251,408,138,54,6548,16930,
"Balmain",2041,3640,415,491,921,538,74,148,96,16,4574,12952,
"Leichhardt - Annandale",2707,5946,998,1101,1804,982,263,444,164,62,6968,21438,
"Lilyfield - Rozelle",1842,2992,547,498,901,510,93,186,98,55,3697,11413,
"Ashfield",1320,3888,1325,1399,1674,1055,473,1183,140,104,8908,21461,
"Burwood - Croydon",1340,3437,1093,1148,1500,1186,386,939,162,146,10312,21641,
"Canterbury (North) - Ashbury",727,1576,591,476,809,454,197,414,42,24,3378,8698,
"Croydon Park - Enfield",1009,2269,991,751,1337,822,389,591,68,74,5951,14260,
"Dulwich Hill - Lewisham",1396,3325,830,810,1285,697,274,472,68,55,5045,14255,
"Haberfield - Summer Hill",1124,2697,597,562,967,539,167,312,81,32,4101,11186,
"Homebush",793,2421,893,777,1059,763,398,824,130,86,5575,13728,
"Strathfield",1430,4260,1255,1085,1652,1229,341,1040,191,146,9257,21870,
"Strathfield South",227,528,191,143,289,141,97,101,19,14,1161,2909,
"Chatswood (East) - Artarmon",2226,5352,1009,1042,1679,1156,225,648,173,111,10060,23670,
"Chatswood (West) - Lane Cove North",1891,4546,847,894,1409,902,204,436,132,70,5935,17267,
"Lane Cove - Greenwich",2734,5803,735,950,1755,1031,164,319,150,71,7851,21559,
"St Leonards - Naremburn",1270,2880,316,388,744,437,57,142,69,26,2574,8898,
"Willoughby - Castle Cove - Northbridge",2716,4621,621,834,1506,944,155,330,172,59,7691,19651,
"Asquith - Mount Colah",1346,2907,1183,985,1423,756,308,568,89,58,4782,14393,
"Berowra - Brooklyn - Cowan",899,1710,833,620,1004,483,168,360,43,42,2976,9140,
"Normanhurst - Thornleigh - Westleigh",1457,3245,757,781,1329,746,170,434,73,44,5657,14678,
"Hornsby - East",661,2125,649,684,769,549,199,497,56,36,3449,9689,
"Hornsby - West",705,1745,520,474,736,399,137,338,35,20,3490,8595,
"Waitara - Wahroonga (West)",564,1822,377,394,619,319,109,222,38,33,3149,7656,
"Gordon - Killara",2013,3903,464,638,1333,809,115,272,99,89,7643,17373,
"Lindfield - Roseville",2227,4480,554,771,1404,892,113,277,151,56,7304,18229,
"Pymble",1692,3213,400,555,1003,575,87,230,94,53,4824,12722,
"St Ives",2171,3460,507,663,1287,936,116,258,125,35,6615,16175,
