Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"AGE5P - Age in Five Year Groups","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","Total",
"Pyrmont - Ultimo",981,3888,3794,3145,2075,1278,963,886,816,733,646,383,246,154,79,26,0,0,20093,
"Redfern - Chippendale",987,3869,4280,3128,1833,1325,1187,1050,941,745,645,418,392,237,146,35,9,0,21228,
"Surry Hills",280,1322,3087,2892,1834,1390,1071,946,724,619,419,323,282,199,144,73,16,0,15606,
"Sydney - Haymarket - The Rocks",1040,4785,6014,4659,2703,1450,1105,1040,890,780,660,449,269,158,107,40,10,0,26158,
"Waterloo - Beaconsfield",1943,4824,5924,5033,2879,1888,1523,1341,1200,970,927,662,505,372,163,62,15,0,30235,
"Bondi - Tamarama - Bronte",650,1012,2287,2448,1814,1446,1295,1016,817,688,686,462,400,267,183,83,22,0,15586,
"Bondi Beach - North Bondi",594,1148,2777,3256,2261,1761,1352,998,833,651,674,389,324,238,177,93,16,0,17543,
"Bondi Junction - Waverly",654,964,1729,1820,1555,1198,1154,929,817,669,685,560,496,437,346,238,68,5,14332,
"Centennial Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Double Bay - Bellevue Hill",1168,1265,2280,2367,1831,1625,1585,1415,1422,1344,1509,1186,857,598,439,298,84,11,21296,
"Dover Heights",548,536,600,828,919,945,753,689,646,554,505,401,242,199,144,107,21,6,8650,
"Paddington - Moore Park",439,1010,1933,1858,1515,1163,1049,910,765,626,636,562,353,184,124,61,11,0,13194,
"Rose Bay - Vaucluse - Watsons Bay",917,694,527,552,659,839,894,889,695,630,651,525,357,273,203,102,28,3,9440,
"Woollahra",257,378,645,676,610,511,483,467,431,405,490,380,318,197,162,93,34,4,6547,
"Coogee - Clovelly",1011,1448,2576,2885,2451,2027,1821,1552,1326,1151,971,723,540,363,265,106,25,0,21250,
"Malabar - La Perouse - Chifley",1437,1465,1486,1462,1618,1833,1806,1770,1515,1372,1302,1052,748,542,396,179,54,3,20044,
"Kensington (NSW)",1675,3619,1842,1240,936,691,594,588,484,362,390,294,258,211,156,58,20,0,13421,
"Kingsford",1229,3486,2049,1106,858,846,764,735,601,542,458,330,325,255,185,63,10,0,13835,
"Maroubra - North",504,721,721,713,709,754,632,641,565,482,409,369,288,305,252,119,22,0,8211,
"Maroubra - South",498,678,794,925,931,763,733,639,602,565,515,432,354,247,184,64,15,0,8926,
"Maroubra - West",641,1147,1008,863,764,677,632,526,532,425,380,312,280,205,122,58,11,3,8581,
"Randwick - North",599,1071,1776,2042,1680,1315,1135,909,794,665,624,455,345,275,267,167,66,17,14199,
"Randwick - South",553,1344,1612,1484,1151,972,810,710,614,501,392,355,247,188,191,84,19,5,11228,
"Bass Hill - Georges Hall",1522,1498,1350,1288,1431,1377,1349,1255,1226,1039,1038,870,606,464,324,196,66,6,16921,
"Chullora",44,88,103,113,97,52,49,48,35,35,25,5,9,0,3,0,0,0,711,
"Condell Park",819,867,763,856,738,758,661,637,610,518,434,363,265,195,123,59,12,0,8652,
"Greenacre - Mount Lewis",2030,1930,1667,1695,1633,1541,1571,1595,1435,1199,977,735,631,470,348,180,34,5,19681,
"Padstow",1050,1038,1077,1150,997,1058,1074,1206,1143,942,772,595,522,438,384,181,30,7,13678,
"Panania - Milperra - Picnic Point",1641,1640,1396,1606,1747,1924,1779,1747,1668,1458,1256,930,738,508,345,147,19,0,20559,
"Revesby",943,1098,1132,1104,1140,1100,1052,1051,1079,895,721,519,408,409,272,186,39,0,13143,
"Yagoona - Birrong",1459,1450,1548,1410,1308,1296,1238,1250,1309,1076,878,582,463,401,340,156,34,3,16212,
"Bankstown - North",878,1254,1619,1563,1209,1018,887,917,847,668,555,359,321,234,166,69,18,5,12582,
"Bankstown - South",1013,1278,1390,1294,1069,1056,954,971,950,759,576,423,338,263,178,76,16,3,12606,
"Belmore - Belfield",1162,1238,1384,1457,1319,1252,1367,1281,1065,950,840,732,619,456,261,89,34,0,15513,
"Canterbury (South) - Campsie",1689,2486,3324,3115,2276,2003,1934,2022,1776,1456,1041,841,739,563,377,155,41,0,25835,
"Kingsgrove (North) - Earlwood",1445,1224,1228,1388,1604,1885,1851,1601,1394,1198,1165,1019,921,712,459,186,39,3,19311,
