Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"AGE5P - Age in Five Year Groups","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","Total",
"Winston Hills",607,502,494,671,851,884,765,637,565,521,568,625,319,207,109,61,15,0,8398,
"Pendle Hill - Girraween",608,651,862,1290,1325,979,729,691,610,497,497,356,316,239,191,112,31,0,9977,
"Wentworthville - Westmead",749,937,1286,1890,1603,1141,857,818,793,622,486,345,303,249,156,80,22,3,12335,
"Epping - North Epping",1833,2209,2063,1898,1897,1861,1738,1881,1751,1538,1156,784,665,514,365,168,43,5,22357,
"Pennant Hills - Cheltenham",1439,1333,849,913,1255,1469,1500,1531,1405,1196,1089,867,664,493,349,176,46,0,16560,
"Eastwood - Denistone",1510,2143,2075,1836,1650,1580,1573,1789,1619,1516,1193,824,640,475,345,138,31,0,20929,
"Gladesville - Huntleys Point",720,776,868,1023,1070,1201,1098,1005,862,763,738,553,437,329,257,114,30,0,11836,
"Hunters Hill - Woolwich",992,493,364,423,495,693,770,687,623,552,588,427,331,251,333,250,63,6,8331,
"Macquarie Park - Marsfield",1089,2984,2587,2478,1818,1240,1004,964,917,879,735,562,487,456,410,267,60,9,18951,
"North Ryde - East Ryde",706,766,644,692,880,916,879,926,862,699,545,395,418,340,259,112,20,0,10062,
"West Ryde - Meadowbank",813,1301,2221,2482,1875,1374,1109,1060,1016,886,719,500,389,249,172,68,16,0,16263,
"Putney",318,278,166,168,202,279,365,346,306,248,223,129,105,92,65,24,9,0,3330,
"Ryde",1408,1950,2528,2566,2268,1869,1780,1631,1416,1242,1107,810,701,604,470,220,41,4,22595,
"Ashcroft - Busby - Miller",1389,1301,1099,1080,1052,995,1013,1151,1130,815,625,452,522,337,143,38,9,0,13143,
"Austral - Greendale",678,667,481,484,496,588,623,586,546,538,524,382,269,176,144,66,14,0,7261,
"Cobbitty - Leppington",989,1134,1782,1807,1458,1190,982,921,817,776,654,493,316,196,80,32,7,0,13644,
"Badgerys Creek",6,6,0,0,9,5,4,0,7,3,6,5,0,0,0,0,0,0,50,
"Cecil Hills",637,577,458,377,370,554,566,595,486,379,256,146,96,60,27,8,0,0,5575,
"Green Valley",1098,1022,876,808,781,832,869,938,876,668,404,320,186,97,70,27,6,0,9879,
"Hinchinbrook",1030,981,828,923,875,864,882,939,730,559,372,226,161,88,44,6,10,0,9502,
"Hoxton Park - Carnes Hill - Horningsea Park",925,734,747,943,1008,942,808,787,562,424,314,200,93,66,30,8,4,0,8601,
"West Hoxton - Middleton Grange",1175,996,1019,1328,1344,1256,1116,886,702,465,374,215,128,93,36,9,4,0,11148,
"Bonnyrigg Heights - Bonnyrigg",1225,1310,1078,1064,966,1013,1094,1155,1161,995,690,445,293,186,138,52,21,0,12883,
"Bossley Park - Abbotsbury",1371,1447,1315,1046,1057,1192,1229,1355,1506,1264,983,622,488,323,208,71,11,0,15494,
"Cabramatta - Lansvale",1749,1949,1880,1719,1456,1626,1827,1728,1667,1386,1042,651,564,456,359,170,46,0,20281,
"Cabramatta West - Mount Pritchard",1294,1379,1108,1084,1063,1129,1197,1150,1125,842,733,457,450,369,172,63,16,0,13629,
"Canley Vale - Canley Heights",1545,1744,1453,1407,1273,1385,1454,1496,1442,1067,788,569,436,346,277,107,32,5,16821,
"Edensor Park",751,853,705,616,534,565,681,803,778,602,440,268,185,121,70,24,9,0,8009,
"Fairfield",1100,1285,1413,1347,1187,1198,1212,1182,1105,941,712,547,438,352,201,86,9,0,14318,
"Fairfield - West",1421,1438,1300,1243,1209,1239,1304,1280,1187,943,820,678,552,318,202,63,8,3,15207,
"Greenfield Park - Prairiewood",614,582,544,484,475,516,569,546,616,553,452,329,229,135,81,29,0,0,6756,
"Horsley Park - Kemps Creek",332,347,255,218,218,324,328,295,276,264,242,187,146,136,72,28,7,0,3663,
"Smithfield - Wetherill Park",1165,1255,1232,1127,1102,1195,1120,1118,1170,1094,982,668,583,446,221,88,14,0,14573,
"St Johns Park - Wakeley",733,775,764,707,607,624,696,690,789,785,676,409,326,206,151,67,11,3,9020,
"Wetherill Park Industrial",0,0,0,0,4,0,5,6,5,0,3,4,5,0,0,0,0,0,36,
"Casula",1158,1131,1066,1127,1022,1054,1118,1036,930,786,641,388,358,237,157,78,3,0,12295,
"Chipping Norton - Moorebank",1050,1084,1231,1428,1468,1408,1181,1102,1049,958,992,762,367,265,168,63,21,3,14599,
"Holsworthy - Wattle Grove",1567,1466,1442,1664,1622,1652,1564,1383,1081,747,585,437,276,242,171,77,33,0,16015,
"Liverpool",1435,1980,2393,2498,2217,1829,1594,1578,1437,1248,1020,768,651,428,260,95,21,0,21448,
"Lurnea - Cartwright",822,834,801,759,754,719,716,753,681,520,461,403,355,215,121,24,4,0,8938,
"Prestons - Edmondson Park",1488,1138,1054,1299,1382,1535,1282,1130,889,617,443,267,216,135,112,61,10,0,13050,
"Warwick Farm",284,448,572,667,496,355,317,353,344,259,208,170,122,85,51,14,3,0,4741,
"Gymea - Grays Point",1119,1022,851,976,1061,1353,1415,1275,1114,962,819,739,522,406,262,84,13,0,13991,
"Miranda - Yowie Bay",1032,957,1133,1227,1201,1293,1244,1162,1102,931,831,728,669,598,512,219,76,6,14911,
"Sylvania - Taren Point",886,823,680,814,929,1065,1097,1039,939,863,897,867,758,617,550,264,68,0,13158,
"Caringbah",528,627,937,1045,930,928,733,690,680,579,497,430,320,266,245,113,25,0,9575,
"Caringbah South",827,704,489,528,672,887,808,802,862,756,693,493,390,353,251,75,15,0,9614,
"Cronulla - Kurnell - Bundeena",1009,1378,2139,2077,1626,1542,1520,1623,1709,1533,1331,961,587,487,347,152,35,0,20061,
"Lilli Pilli - Port Hacking - Dolans Bay",261,204,123,99,146,220,252,262,247,204,167,121,83,71,45,7,6,0,2521,
"Woolaware - Burraneer",554,458,398,370,429,530,616,571,564,479,407,268,198,157,132,54,6,0,6195,
"Heathcote - Waterfall",409,374,312,313,381,477,447,453,374,411,302,270,232,205,151,87,36,5,5234,
"Illawong - Alfords Point",735,829,673,451,526,589,658,832,1076,875,610,296,214,124,112,45,5,0,8645,
"Menai - Lucas Heights - Woronora",1681,1580,1117,1079,1175,1405,1596,1682,1684,1403,1043,658,370,230,200,101,16,3,17035,
"Oyster Bay - Como - Jannali",1267,1094,869,1149,1429,1832,1611,1437,1335,1199,1129,876,503,368,291,131,28,0,16561,
"Royal National Park",3,6,4,8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,25,
"Sutherland - Kirrawee",1008,1088,1682,1811,1680,1539,1333,1255,1159,994,920,788,623,517,427,258,80,4,17140,
"Engadine",1003,781,751,1060,1374,1376,1160,955,871,778,973,887,462,291,179,88,10,7,12993,
"Loftus - Yarrawarrah",435,435,351,385,449,565,530,493,425,471,384,307,245,126,70,20,8,0,5698,
"Woronora Heights",333,308,182,105,174,275,328,317,352,269,167,80,47,16,15,0,5,0,2965,
"Total",268433,322569,364255,374871,336953,319709,300023,283928,259517,222134,193497,142400,105489,76870,53386,25596,6295,471,3656387,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
