Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"Main Statistical Area Structure (Main ASGS) (UR) by SA2 (POW) by MTW15P Method of Travel to Work (15 travel modes)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

" UR - Sydney (SA2)"
"MTW15P Method of Travel to Work (15 travel modes)","Train","Bus","Ferry","Tram","Taxi","Car, as driver","Car, as passenger","Truck","Motorbike/scooter","Bicycle","Walked only","Other Mode","Worked at home","Did not go to work","Not stated","Not applicable","Total",
"Bondi Junction - Waverly",4079,1810,3,5,28,5010,439,30,171,135,1100,51,496,1469,147,0,14964,
"Centennial Park",14,8,0,0,0,45,0,0,0,0,7,0,3,11,0,0,101,
"Double Bay - Bellevue Hill",1749,311,10,0,44,4276,253,21,100,52,589,67,947,703,84,0,9208,
"Dover Heights",68,61,4,0,0,689,43,11,15,4,66,29,370,86,17,0,1457,
"Paddington - Moore Park",1138,899,8,3,49,4061,286,27,153,233,765,48,582,745,73,0,9082,
"Rose Bay - Vaucluse - Watsons Bay",329,257,11,0,7,2115,133,10,77,11,298,40,480,315,36,0,4134,
"Woollahra",333,235,0,0,12,1222,72,7,16,32,242,14,320,203,21,0,2735,
"Coogee - Clovelly",183,306,0,0,8,1615,126,40,40,26,338,31,650,320,44,0,3730,
"Malabar - La Perouse - Chifley",153,212,0,0,19,3110,180,41,39,33,205,27,367,405,44,0,4840,
"Kensington (NSW)",1246,1207,7,0,28,3490,312,10,109,329,1209,33,347,610,92,0,9021,
"Kingsford",124,244,0,0,6,971,93,15,11,19,209,12,199,182,14,0,2085,
"Maroubra - North",91,131,4,5,4,1029,66,14,14,11,107,17,214,159,32,0,1902,
"Maroubra - South",55,93,0,0,0,625,48,13,13,15,83,18,168,107,9,0,1250,
"Maroubra - West",80,202,0,0,0,1039,90,11,23,19,187,9,144,194,16,0,2002,
"Randwick - North",350,260,0,0,12,2093,99,12,33,43,230,18,380,329,26,0,3884,
"Randwick - South",994,1274,0,0,25,5672,511,17,123,201,1328,27,272,1302,105,0,11849,
"Bass Hill - Georges Hall",109,62,0,0,9,1973,191,47,8,4,72,19,207,248,37,0,2989,
"Chullora",217,75,0,4,16,6117,366,122,38,17,25,32,29,351,105,0,7527,
"Condell Park",357,200,9,3,14,10155,566,144,57,36,86,57,156,535,145,0,12511,
"Greenacre - Mount Lewis",221,125,5,0,23,4332,363,127,15,17,119,41,267,373,84,0,6101,
"Padstow",180,48,0,0,9,2437,192,49,7,8,89,19,201,219,31,0,3484,
"Panania - Milperra - Picnic Point",166,17,5,0,6,2110,114,61,9,9,118,30,348,287,33,0,3312,
"Revesby",191,56,0,0,8,2018,201,34,0,10,111,13,177,344,20,0,3180,
"Yagoona - Birrong",142,35,0,0,10,1326,122,31,4,3,83,7,206,160,31,0,2154,
"Bankstown - North",534,215,5,0,24,4841,359,23,20,5,215,21,154,676,63,0,7162,
"Bankstown - South",551,236,4,0,14,6935,518,84,31,19,217,31,143,666,121,0,9577,
"Belmore - Belfield",226,49,0,0,13,2422,193,53,11,7,151,33,192,239,37,0,3623,
"Canterbury (South) - Campsie",590,196,0,0,23,4331,404,52,11,15,448,36,239,581,77,0,7025,
"Kingsgrove (North) - Earlwood",459,165,0,0,19,4602,287,55,62,24,133,37,348,338,74,0,6615,
"Punchbowl",232,53,0,0,22,3027,220,66,10,8,136,29,163,239,57,0,4267,
"Roselands",117,129,3,0,14,1806,209,10,6,7,99,21,136,315,27,0,2895,
"Lakemba",179,36,0,0,50,1832,163,20,3,3,183,30,127,144,50,0,2813,
"Wiley Park",39,8,0,0,23,423,34,9,0,0,44,9,56,66,7,0,724,
"Hurstville",1303,417,0,0,6,4814,537,28,21,20,794,32,258,956,88,0,9278,
"Mortdale - Penshurst",206,45,0,5,5,1801,156,29,9,6,189,23,307,304,16,0,3091,
"Narwee - Beverly Hills",133,28,0,0,3,1091,70,7,6,3,90,12,129,135,21,0,1727,
"Oatley - Hurstville Grove",139,8,0,0,0,1071,72,17,4,8,99,4,244,180,21,0,1861,
"Peakhurst - Lugarno",213,97,0,0,6,3751,246,90,13,11,127,23,310,354,44,0,5294,
"Riverwood",113,38,0,0,3,1154,91,6,3,0,94,10,85,171,36,0,1813,
"South Hurstville - Blakehurst",252,71,0,0,3,2143,175,28,3,4,184,21,338,359,41,0,3628,
"Arncliffe - Bardwell Valley",586,33,0,3,19,2277,170,56,17,18,169,30,235,239,37,0,3885,
"Bexley",208,81,0,0,19,1883,161,34,5,15,149,24,285,230,27,0,3127,
"Kingsgrove (South) - Bardwell Park",139,35,0,0,0,1261,79,12,7,6,81,21,170,169,26,0,2014,
"Kogarah",1783,172,0,0,15,5893,420,18,61,48,820,22,167,1140,98,0,10652,
"Kogarah Bay - Carlton - Allawah",138,22,0,0,4,1591,101,22,5,7,112,11,163,229,25,0,2430,
"Monterey - Brighton-le-Sands - Kyeemagh",141,47,0,0,8,1138,90,22,10,7,135,12,180,160,21,0,1967,
"Rockdale - Banksia",644,126,0,0,8,3571,276,36,21,17,299,42,160,374,56,0,5650,
"Sans Souci - Ramsgate",84,64,0,0,6,1404,99,22,10,13,112,13,253,236,21,0,2348,
"Concord - Mortlake - Cabarita",314,94,11,0,5,2302,162,32,24,12,173,30,478,323,39,0,4002,
"Concord West - North Strathfield",3926,350,3,6,37,11196,590,40,126,96,658,79,588,1376,161,0,19219,
"Drummoyne - Rodd Point",239,339,5,0,10,2116,175,25,31,27,195,20,433,413,37,0,4069,
"Five Dock - Abbotsford",207,266,0,4,9,3266,259,37,24,28,241,22,425,447,52,0,5286,
"Balmain",333,330,32,4,12,2415,125,17,48,50,338,33,595,400,43,0,4780,
"Leichhardt - Annandale",796,626,9,46,35,5754,309,42,80,123,656,45,719,859,81,0,10169,
"Lilyfield - Rozelle",403,395,3,47,16,3066,162,27,77,92,329,28,410,423,53,0,5534,
