Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by INDP - 1 Digit Level"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"Sydenham - Tempe - St Peters",7,4,185,31,263,122,329,352,247,209,296,81,496,213,325,445,432,141,173,133,46,2138,6670,
"Darlinghurst",11,5,131,15,217,144,463,733,207,397,724,158,1453,309,342,435,648,240,187,238,68,3656,10776,
"Erskineville - Alexandria",21,17,293,60,467,287,730,661,425,650,1057,210,1848,431,818,1004,968,380,306,325,104,3427,14481,
"Glebe - Forest Lodge",24,7,249,57,442,253,704,826,254,643,808,211,1797,328,572,1332,1100,322,297,337,115,7198,17870,
"Newtown - Camperdown - Darlington",23,12,355,66,571,287,973,1282,344,940,865,192,2365,439,923,1811,1512,528,499,441,155,8125,22704,
"Potts Point - Woolloomooloo",24,25,256,48,376,271,759,1054,304,610,1141,303,2347,487,1403,756,901,387,314,383,92,8178,20414,
"Pyrmont - Ultimo",18,14,271,54,385,294,855,1840,356,556,1289,242,1783,533,426,644,708,375,278,416,160,8599,20093,
"Redfern - Chippendale",17,24,282,50,401,282,877,1342,361,677,773,208,2097,477,656,963,977,374,358,349,150,9536,21228,
"Surry Hills",15,17,265,53,300,247,735,1190,266,653,903,162,1968,446,496,655,834,283,265,332,101,5429,15606,
"Sydney - Haymarket - The Rocks",27,44,394,52,390,298,1112,4088,319,323,1409,341,1914,896,418,516,1049,247,322,614,353,11030,26158,
"Waterloo - Beaconsfield",24,40,492,73,983,522,1465,1473,788,700,1502,494,2488,753,1010,1156,1369,397,527,574,221,13190,30235,
"Bondi - Tamarama - Bronte",26,14,284,45,705,244,644,787,304,585,925,272,1788,489,407,787,993,307,291,393,123,5174,15586,
"Bondi Beach - North Bondi",16,19,303,49,726,321,828,922,257,742,1007,314,2237,543,384,873,963,369,340,508,138,5672,17543,
"Bondi Junction - Waverly",15,10,200,38,511,213,600,627,242,399,843,210,1466,427,382,711,900,205,263,281,93,5699,14332,
"Centennial Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Double Bay - Bellevue Hill",55,18,327,43,523,402,861,695,302,546,1536,598,2386,514,407,882,1393,323,331,524,162,8464,21296,
"Dover Heights",13,10,153,18,350,215,446,282,142,199,462,200,830,229,175,479,716,110,194,229,64,3141,8650,
